AgeMonths,IntakeHour,OutcomeHour,AgeAtOutcomeMonths,Breed_Freq,Color_Freq,Animal Type_dog,Sex upon Intake_intact male,Sex upon Intake_neutered male,Sex upon Intake_spayed female,Sex upon Intake_unknown,Intake Type_euthanasia request,Intake Type_owner surrender,Intake Type_public assist,Intake Type_stray,Intake Type_wildlife,Intake Condition_agonal,Intake Condition_behavior,Intake Condition_congenital,Intake Condition_feral,Intake Condition_injured,Intake Condition_med attn,Intake Condition_med urgent,Intake Condition_medical,Intake Condition_neonatal,Intake Condition_neurologic,Intake Condition_normal,Intake Condition_nursing,Intake Condition_other,Intake Condition_parvo,Intake Condition_pregnant,Intake Condition_sick,Intake Condition_space,Intake Condition_unknown,IntakeWeekday_Monday,IntakeWeekday_Saturday,IntakeWeekday_Sunday,IntakeWeekday_Thursday,IntakeWeekday_Tuesday,IntakeWeekday_Wednesday,OutcomeWeekday_Monday,OutcomeWeekday_Saturday,OutcomeWeekday_Sunday,OutcomeWeekday_Thursday,OutcomeWeekday_Tuesday,OutcomeWeekday_Wednesday,True,Pred_RF,Pred_LGB,TrueName,PredName_RF,PredName_LGB
6.0,17,16,7.0,0.012028032422609462,0.0007916730390348786,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,4,3,0,transfer,return to owner,adoption
5.0,20,16,6.0,0.054355551157372006,0.08703005658662973,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2,3,3,euthanasia,return to owner,return to owner
84.0,16,18,97.0,0.0008276581771728276,0.10453682629074193,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,4,3,0,transfer,return to owner,adoption
24.0,15,17,24.0,0.004705056811536835,0.0189191863760267,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0,3,3,adoption,return to owner,return to owner
24.0,11,14,25.0,0.04404580908084961,0.028590192250600503,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,4,3,4,transfer,return to owner,transfer
7.0,9,10,7.0,0.01904513435950952,0.08703005658662973,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3,4,4,return to owner,transfer,transfer
24.0,7,11,24.0,0.012504835502937286,0.028590192250600503,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,4,2,2,transfer,euthanasia,euthanasia
1.0,13,13,3.0,0.22815477207913132,0.06934336119182778,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,4,0,0,transfer,adoption,adoption
24.0,11,13,27.0,0.07260001619331216,0.03549034248855223,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0,4,4,adoption,transfer,transfer
12.0,15,18,12.0,0.004102305747726189,0.02701584245706523,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0,3,0,adoption,return to owner,adoption
1.0,12,15,2.0,0.012918664591523701,0.08703005658662973,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0,4,4,adoption,transfer,transfer
2.0,14,18,4.0,0.22815477207913132,0.03474365087218979,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,4,0,0,transfer,adoption,adoption
7.0,11,13,8.0,0.14435438164038253,0.033043353095171694,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,4,4,adoption,transfer,transfer
84.0,17,11,86.0,0.012918664591523701,0.018208479897802207,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4,3,0,transfer,return to owner,adoption
60.0,11,15,70.0,0.023723202317442897,0.023561269195822125,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2,0,0,euthanasia,adoption,adoption
2.0,12,19,3.0,0.22815477207913132,0.06934336119182778,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,4,0,0,transfer,adoption,adoption
11.0,11,15,12.0,0.003121710733467078,0.00046780679579333734,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0,3,3,adoption,return to owner,return to owner
24.0,18,13,39.0,0.005514722419640688,0.03549034248855223,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,2,0,adoption,euthanasia,adoption
1.0,17,15,2.0,0.22815477207913132,0.08703005658662973,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,4,0,0,transfer,adoption,adoption
36.0,14,12,37.0,0.005514722419640688,0.10453682629074193,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,4,3,4,transfer,return to owner,transfer
132.0,14,18,134.0,0.003004759034518744,0.03549034248855223,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,4,0,0,transfer,adoption,adoption
5.0,7,11,6.0,0.22815477207913132,0.03549034248855223,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,4,2,2,transfer,euthanasia,euthanasia
24.0,14,16,31.0,0.07260001619331216,0.000908624737983213,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,3,0,0,return to owner,adoption,adoption
12.0,13,14,12.0,0.00259092994593233,0.10453682629074193,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0,3,0,adoption,return to owner,adoption
48.0,8,18,49.0,0.0005397770720692354,0.03549034248855223,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,4,3,0,transfer,return to owner,adoption
